HOLEID,DEPTH,X,Y,Z,LATITUDE,LONGITUDE,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,BestGridName_D
ALX___006-1_,788,573314.414,6429730.551,472.768,58.00312776,-103.7595422,,ALE,09/02/2019,23/02/2019,NAD83_UTMZ12N_DGPS_F
ALX___007___,767,573385.812,6429774.046,470.886,58.00350657,-103.7583209,,ALE,23/02/2019,10/03/2019,NAD83_UTMZ12N_DGPS_F
ALX___011___,716,573583.62,6428492.79,490.32,57.99196827,-103.7553742,,ALE,20/03/2020,30/03/2020,NAD83_UTMZ12N_DGPS_F
HK18-86,503,613412,6400197,516,57.72957872,-103.0955128,,HOK,23/01/2018,23/01/2018,NAD83_UTMZ12N_LEGACY
SUE_D_Muon__,314,570155.54,6457590.32,464.03,58.25381626,-103.8046254,,MCC,26/03/2021,31/03/2021,NAD83_UTMZ13N_DGPS_F
NIKI___06___,737,578756.549,6428842.731,468.206,57.99422474,-103.6677856,,NIK,30/03/2018,10/04/2018,NAD83_UTMZ12N_DGPS_S
NIKI___08___,611,578877.297,6428347.095,476.174,57.98975271,-103.6659092,,NIK,15/02/2019,27/02/2019,NAD83_UTMZ12N_DGPS_F
NIKI___13-1_,723.3,582648.218,6429571.483,491.099,58.00006231,-103.6017218,,NIK,08/02/2020,20/02/2020,NAD83_UTMZ12N_DGPS_F
NIKI___15___,578,578909.88,6428369.81,474.8,57.98995091,-103.6653507,,NIK,18/03/2020,29/03/2020,NAD83_UTMZ12N_DGPS_F
SFC_12,462,527059.047,6436752.319,492.948,58.07141738,-104.5413179,,CIGAR,16/09/2019,22/09/2019,NAD83_UTMZ12N_DGPS_F
U382,94.9,527403.919,6436851.205,15.41,58.07228436,-104.5354604,,CIGAR,13/08/2014,20/08/2014,NAD83_UTMZ13N
U427,220,527360.4,6436667,-13.132,58.07063258,-104.5362196,,CIGAR,20/01/2015,29/01/2015,NAD83_UTMZ13N
SF719_13,456,527272.862,6436769.924,489.736,58.07156241,-104.5376915,,CIGAR,,,NAD83_UTMZ13N
SF725_10,456,527272.62,6436756.043,489.469,58.07143775,-104.5376972,,CIGAR,,,NAD83_UTMZ13N
SF731_05,456,527272.653,6436724.125,489.181,58.07115107,-104.5377003,,CIGAR,,,NAD83_UTMZ13N
SF737_05,456,527278.458,6436740.262,489.129,58.07129565,-104.5376,,CIGAR,,,NAD83_UTMZ13N
SF742_09,456,527278.566,6436794.457,489.405,58.0717824,-104.5375919,,CIGAR,,,NAD83_UTMZ13N
SF910_02,456,527386.745,6436710.893,489.296,58.07102519,-104.5357679,,CIGAR,,,NAD83_UTMZ13N
SF910_07,456,527386.651,6436740.461,489.429,58.07129077,-104.535766,,CIGAR,,,NAD83_UTMZ13N
SF910_08,456,527386.683,6436746.479,489.434,58.07134482,-104.5357648,,CIGAR,,,NAD83_UTMZ13N
SF910_09,456,527386.39,6436752.549,489.539,58.07139935,-104.5357691,,CIGAR,,,NAD83_UTMZ13N
SF910_10,456,527386.403,6436758.649,489.286,58.07145414,-104.5357681,,CIGAR,,,NAD83_UTMZ13N
SF910_18,456,527386.724,6436806.236,489.051,58.07188153,-104.5357571,,CIGAR,,,NAD83_UTMZ13N
ST896_12,456,527380.339,6436775.915,489.43,58.07160959,-104.5358689,,CIGAR,,,NAD83_UTMZ13N
ST900_04,456,527386.669,6436724.495,489.44,58.07114736,-104.5357676,,CIGAR,,,NAD83_UTMZ13N
ST900_15,456,527386.539,6436790.615,489.51,58.07174124,-104.5357621,,CIGAR,,,NAD83_UTMZ13N
ST902_08,456,527386.709,6436748.625,489.159,58.07136409,-104.5357641,,CIGAR,,,NAD83_UTMZ13N
CIG_____1___,356,525076,6418748,521.2,57.90982237,-104.5768441,S-106559,JIGGER,15/08/1979,20/08/1979,NAD83_UTMZ13N
CIG_____2___,439.2,525929,6419724,466.9,57.91853996,-104.5623432,ML 5463,JIGGER,09/02/1981,16/02/1981,NAD83_UTMZ13N
CIG_____3___,372.6,525981,6419725,468,57.91854592,-104.5614654,ML 5463,JIGGER,19/02/1981,22/02/1981,NAD83_UTMZ13N
CIG_____4___,402,525876,6419723,466.3,57.91853406,-104.5632379,ML 5463,JIGGER,22/02/1981,28/02/1981,NAD83_UTMZ13N
CIG_____5___,353.6,526134,6420176,466.4,57.92258782,-104.5588332,ML 5463,JIGGER,28/02/1981,04/03/1981,NAD83_UTMZ13N
CIG_____6___,367.9,526201,6420458,466,57.92511678,-104.5576711,ML 5463,JIGGER,05/03/1981,09/03/1981,NAD83_UTMZ13N
CIG_____69_1,450,532104,6427685,454.7,57.98964171,-104.4570372,S-106560,REGIONAL,01/01/1969,01/01/1969,NAD83_UTMZ13N
CIG_____7___,406.6,526013,6420173,470.3,57.92256795,-104.5608761,ML 5463,JIGGER,09/03/1981,13/03/1981,NAD83_UTMZ13N
CIG_____8___,87.5,525930,6420160,480.7,57.92245601,-104.5622787,ML 5463,JIGGER,14/03/1981,15/03/1981,NAD83_UTMZ13N
CIG_____9___,410.6,525930,6420160,480.7,57.92245601,-104.5622787,ML 5463,JIGGER,15/03/1981,19/03/1981,NAD83_UTMZ13N
CIG____10___,404.5,526082,6420180,466.6,57.92262679,-104.5597106,ML 5463,JIGGER,20/03/1981,24/03/1981,NAD83_UTMZ13N
