HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE,BestGridName_D,X_NAD,Y_NAD,Z_NAD
ALX___006-1_,ALE,0,75.0923,-80,Collar,NAD83_UTMZ12N,573314.414,6429730.551,472.768
ALX___006-1_,ALE,38,79.6883,-80.46,Devishot,NAD83_UTMZ12N,573320.7905,6429732.249,435.3453054
ALX___006-1_,ALE,89,79.8783,-80.03,DeviShot,NAD83_UTMZ12N,573329.1066,6429733.762,385.0506284
ALX___006-1_,ALE,140,82.7383,-79.95,DeviShot,NAD83_UTMZ12N,573337.7989,6429735.313,334.8208029
ALX___006-1_,ALE,191,81.0283,-79.42,DeviShot,NAD83_UTMZ12N,573346.6274,6429736.438,284.603355
ALX___006-1_,ALE,242,81.4483,-79.43,DeviShot,NAD83_UTMZ12N,573355.8768,6429737.899,234.4703805
ALX___006-1_,ALE,293,84.6383,-79.8,DeviShot,NAD83_UTMZ12N,573365.1281,6429739.29,184.3357724
ALX___006-1_,ALE,344,86.7283,-79.83,DeviShot,NAD83_UTMZ12N,573374.1199,6429740.134,134.1417964
ALX___006-1_,ALE,395,87.0683,-79.99,DeviShot,NAD83_UTMZ12N,573383.1103,6429740.648,83.94309846
ALX___006-1_,ALE,449,89.9183,-78.09,DeviShot,NAD83_UTMZ12N,573392.4843,6429741.128,30.7651172
ALX___006-1_,ALE,638,88.7883,-78.8,DeviShot,NAD83_UTMZ12N,573431.4891,6429741.183,-154.1662762
ALX___006-1_,ALE,689,91.9283,-78.71,DeviShot,NAD83_UTMZ12N,573441.3928,6429741.393,-204.1949891
ALX___006-1_,ALE,740,91.7683,-78.57,DeviShot,NAD83_UTMZ12N,573451.3717,6429741.057,-254.2080801
ALX___006-1_,ALE,788,95.7483,-78.72,DeviShot,NAD83_UTMZ12N,573460.8794,6429740.763,-301.2561223
ALX___007___,ALE,0,75.0923,-80,Collar,NAD83_UTMZ12N,573385.812,6429774.046,470.886
ALX___007___,ALE,20,74.6683,-80.16,Devishot,NAD83_UTMZ12N,573389.1681,6429774.939,451.1898449
ALX___007___,ALE,71,73.4583,-79.93,DeviShot,NAD83_UTMZ12N,573397.5737,6429777.244,400.9401146
ALX___007___,ALE,122,74.7483,-80.01,DeviShot,NAD83_UTMZ12N,573406.122,6429779.783,350.7257764
ALX___007___,ALE,173,77.4183,-79.72,DeviShot,NAD83_UTMZ12N,573414.6577,6429782.11,300.4990361
ALX___007___,ALE,224,77.6283,-80.23,DeviShot,NAD83_UTMZ12N,573423.5405,6429784.093,250.3177191
ALX___007___,ALE,275,78.9283,-80.6,DeviShot,NAD83_UTMZ12N,573431.9939,6429785.947,200.057378
ALX___007___,ALE,326,79.1683,-80.02,DeviShot,NAD83_UTMZ12N,573440.1685,6429787.547,149.7421978
ALX___007___,ALE,377,80.1883,-80.07,DeviShot,NAD83_UTMZ12N,573448.8496,6429789.208,99.51391406
ALX___007___,ALE,428,80.1983,-80.38,DeviShot,NAD83_UTMZ12N,573457.5156,6429790.706,49.27793643
ALX___007___,ALE,479,80.7083,-80.32,DeviShot,NAD83_UTMZ12N,573465.914,6429792.157,-1.004889518
ALX___007___,ALE,611,88.6383,-80.58,DeviShot,NAD83_UTMZ12N,573487.8179,6429795.741,-131.1255029
ALX___007___,ALE,662,88.1183,-80.61,DeviShot,NAD83_UTMZ12N,573496.1628,6429795.939,-181.4377725
ALX___007___,ALE,713,88.8983,-80.54,DeviShot,NAD83_UTMZ12N,573504.4791,6429796.212,-231.7544058
ALX___007___,ALE,764,90.1183,-80.62,DeviShot,NAD83_UTMZ12N,573512.8599,6429796.374,-282.0608357
