HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,PROJECTCODE,EAST,NORTH,RL,DEPTH,TENEMENTID,PROSPECT,STARTDATE,ENDDATE,DDHName,PlannedHoleID,Geologist1,Geologist2,DrillholeStatus,HolePurposeComment,HoleGeneralComment,Drillhole_Coordinateset_D,Drillhole_Best_X_D,Drillhole_Best_Y_D,Drillhole_Best_Z_D,MapSection,LocationGridName,XGridLine,YGridLine,BestGridName_D,WedgeHole,StartDrillingDepth
CIG_____1___,57.90982237,-104.5768441,WCI,525076,6418748,521.2,356,S-106559,JIGGER,15-Aug-1979,20-Aug-1979,WQ17_001,,P. Clarke,P. Clarke,Complete,,Lower Athabasca is porous grit with bleached clay-rich matrix.  Basement is granite with inclusions of meta-arkose and gneiss.,NAD83_UTMZ13N_LEGACY,525076,6418748,521.2,074H15,,5+75W,12+50N,NAD83_UTMZ13N,,
CIG_____2___,57.91853996,-104.5623432,WCI,525929,6419724,466.9,439.2,ML 5463,JIGGER,09-Feb-1981,16-Feb-1981,WQ17_002,,J. Chevalier,J. Chevalier,Complete,,,NAD83_UTMZ13N_LEGACY,525929,6419724,466.9,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____3___,57.91854592,-104.5614654,WCI,525981,6419725,468,372.6,ML 5463,JIGGER,19-Feb-1981,22-Feb-1981,WQ17_003,,J. Chevalier,J. Chevalier,Complete,,,NAD83_UTMZ13N_LEGACY,525981,6419725,468,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____4___,57.91853406,-104.5632379,WCI,525876,6419723,466.3,402,ML 5463,JIGGER,22-Feb-1981,28-Feb-1981,WQ17_004,,J. Chevalier,J. Chevalier,Complete,,,NAD83_UTMZ13N_LEGACY,525876,6419723,466.3,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____5___,57.92258782,-104.5588332,WCI,526134,6420176,466.4,353.6,ML 5463,JIGGER,28-Feb-1981,04-mars-81,WQ17_005,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,526134,6420176,466.4,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____6___,57.92511678,-104.5576711,WCI,526201,6420458,466,367.9,ML 5463,JIGGER,05-mars-81,09-mars-81,WQ17_006,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,526201,6420458,466,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____69_1,57.98964171,-104.4570372,WCI,532104,6427685,454.7,450,S-106560,REGIONAL,01-janv-69,01-janv-69,69-1,,,,Complete,,Max depth unknown.Historical hole drilled in 1969. Assessment report 74H15-0002,NAD83_UTMZ13N_LEGACY,532104,6427685,454.7,074H16,,,,NAD83_UTMZ13N,,
CIG_____7___,57.92256795,-104.5608761,WCI,526013,6420173,470.3,406.6,ML 5463,JIGGER,09-mars-81,13-mars-81,WQ17_007,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,526013,6420173,470.3,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____8___,57.92245601,-104.5622787,WCI,525930,6420160,480.7,87.5,ML 5463,JIGGER,14-mars-81,15-mars-81,WQ17_008,,J. Beaudin,J. Beaudin,Complete,,,NAD83_UTMZ13N_LEGACY,525930,6420160,480.7,074H15,Q17,,,NAD83_UTMZ13N,,
CIG_____9___,57.92245601,-104.5622787,WCI,525930,6420160,480.7,410.6,ML 5463,JIGGER,15-mars-81,19-mars-81,WQ17_009,,J. Chevalier,J. Chevalier,Complete,,,NAD83_UTMZ13N_LEGACY,525930,6420160,480.7,074H15,Q17,,,NAD83_UTMZ13N,,
