SAMPLING_POINT-NAME,PICTURE,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,X_NAD,Y_NAD,Z_NAD,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-ELEVATION,LITHOLOGY_ORANO,FORMATION_ORANO,LITHOLOGY,LITHOLOGY_2,LITHOLOGY_3,TEXTURE_STRUCTURE,TEXTURE_STRUCTURE_2
text,text,text,deg,deg,m,m,m,m,m,m,m,m,m,deg,deg,m,text,text,text,text,text,text,text
 SF731-05--422,SF731-05-422.JPG ,SF731_05,58.07115107,-104.5377003,489.181,527272.653,6436724.125,489.181,422,422.1,527250.452,6436729.544,67.85544546,58.0712011,-104.538076,67.85544546,,,,,,,
 SF737-05--413,SF737-05-413.JPG ,SF737_05,58.07129565,-104.5376,489.129,527278.458,6436740.262,489.129,413,413.1,527258.8651,6436740.629,76.64657006,58.07130015,-104.5379321,76.64657006,,,,,,,
 SF737-05--422,SF737-05-422.JPG ,SF737_05,58.07129565,-104.5376,489.129,527278.458,6436740.262,489.129,422,422.1,527258.4244,6436740.762,67.65836249,58.07130137,-104.5379396,67.65836249,,,,,,,
 SF910-02--436-6-438-8,CAM084106.JPG ,SF910_02,58.07102519,-104.5357679,489.296,527386.745,6436710.893,489.296,436.6,438.8,527425.8525,6436713.117,54.65595168,58.07104275,-104.5351047,54.65595168,,,,,,,
 SF910-10--419-420-5,CAM084155.JPG ,SF910_10,58.07145414,-104.5357681,489.286,527386.403,6436758.649,489.286,419,420.5,527423.7109,6436760.187,72.14732887,58.07146565,-104.5351355,72.14732887,,,,,,,
 SF910-18--179,CAM084224.JPG ,SF910_18,58.07188153,-104.5357571,489.051,527386.724,6436806.236,489.051,179,179.1,527399.3821,6436805.787,310.607443,58.07187671,-104.5355426,310.607443,,,,,,,
 ST900-04--421-421-3,CAM084134.JPG ,ST900_04,58.07114736,-104.5357676,489.44,527386.669,6436724.495,489.44,421,421.3,527417.2881,6436724.163,69.70457727,58.07114249,-104.5352486,69.70457727,,,,,,,
 ST900-04--423-9-424-2,CAM084135.JPG ,ST900_04,58.07114736,-104.5357676,489.44,527386.669,6436724.495,489.44,423.9,424.2,527417.4932,6436724.197,66.81203523,58.07114278,-104.5352451,66.81203523,,,,,,,
 ST900-04--427-8-428-1,CAM084136.JPG ,ST900_04,58.07114736,-104.5357676,489.44,527386.669,6436724.495,489.44,427.8,428.1,527417.7689,6436724.243,62.9220649,58.07114318,-104.5352405,62.9220649,,,,,,,
