Echantillon,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,SAMPLING_POINT-NAME,SAMPLE_NAME,X_NAD,Y_NAD,Z_NAD,LITHOLOGY_ORANO,FORMATION_ORANO,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-ELEVATION
"WC-449_534,8_A",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,534.8,534.9,WC449--534-8,WC-449--534-8--A,530522.9837,6437267.045,-77.93996687,BxQtz,,58.07581552,-104.482534,-77.93996687
"WC-449_534,8_A",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,534.8,534.9,WC449--534-8,WC-449--534-8--A,530522.9837,6437267.045,-77.93996687,BxQtz,,58.07581552,-104.482534,-77.93996687
"WC-449_534,8_A",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,534.8,534.9,WC449--534-8,WC-449--534-8--A,530522.9837,6437267.045,-77.93996687,BxQtz,,58.07581552,-104.482534,-77.93996687
"WC-449_534,8_B",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,534.8,534.9,WC449--534-8,WC-449--534-8--B,530522.9837,6437267.045,-77.93996687,BxQtz,,58.07581552,-104.482534,-77.93996687
"WC-449_534,8_B",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,534.8,534.9,WC449--534-8,WC-449--534-8--B,530522.9837,6437267.045,-77.93996687,BxQtz,,58.07581552,-104.482534,-77.93996687
"WC-449_529,3",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,529.3,529.4,WC449--529-3,WC-449--529-3,530522.761,6437266.406,-72.48188964,BxQtz,,58.0758098,-104.4825379,-72.48188964
"WC-473_433,5",WC____473___,58.09658306,-104.450388,453.54,532400.23,6439594.13,453.54,433.5,433.6,WC473--433-5,WC-473--433-5,532340.6843,6439710.345,40.39574698,GnPel,,58.09763119,-104.451382,40.39574698
"WC-512_571,0",WC____512___,58.08208789,-104.5814822,481.49,524682.358,6437924.906,481.49,571,571.1,WC512--571,WC-512--571-0,524686.6626,6438046.383,-75.82439241,GranT,,58.08317872,-104.5813965,-75.82439241
"WC-514_573,3",WC____514___,58.08208789,-104.5814822,481.49,524682.358,6437924.906,481.49,573.3,573.4,WC514--573-3,WC-514--573-3,524668.1149,6438101.079,-63.54031633,GranT,,58.08367101,-104.5817052,-63.54031633
"WC-519_568,3_A",WC____519___,58.08210688,-104.581539,482,524679,6437927,482,568.3,568.4,WC519--568-3,WC-519--568-3--A,524672.6983,6437976.205,-83.91290705,GnGraPel,,58.08254918,-104.5816406,-83.91290705
