HOLEID,PROJECTCODE,DEPTH,AZIMUTH,DIP,SURVTYPE,CollarStartDate_D,CollarEndDate_D,X,Y,Z
CIG_____1___,WCI,0,0,-90,Collar,08/15/1979,08/20/1979,525076,6418748,521.2
CIG_____1___,WCI,356,0,-86,Collar,08/15/1979,08/20/1979,525076,6418772.833,166.0671981
CIG_____2___,WCI,0,0,-90,Unknown,02/09/1981,02/16/1981,525929,6419724,466.9
CIG_____2___,WCI,439.2,0,-90,Unknown,02/09/1981,02/16/1981,525929,6419724,27.7
CIG_____3___,WCI,0,0,-90,Unknown,02/19/1981,02/22/1981,525981,6419725,468
CIG_____3___,WCI,372.6,0,-90,Unknown,02/19/1981,02/22/1981,525981,6419725,95.4
CIG_____4___,WCI,0,0,-90,Unknown,02/22/1981,02/28/1981,525876,6419723,466.3
CIG_____4___,WCI,402,0,-90,Unknown,02/22/1981,02/28/1981,525876,6419723,64.3
CIG_____5___,WCI,0,0,-90,Unknown,02/28/1981,03/04/1981,526134,6420176,466.4
CIG_____5___,WCI,353.6,0,-90,Unknown,02/28/1981,03/04/1981,526134,6420176,112.8
CIG_____6___,WCI,0,0,-90,Unknown,03/05/1981,03/09/1981,526201,6420458,466
CIG_____6___,WCI,367.9,0,-90,Unknown,03/05/1981,03/09/1981,526201,6420458,98.1
CIG_____7___,WCI,0,0,-90,Unknown,03/09/1981,03/13/1981,526013,6420173,470.3
CIG_____7___,WCI,406.6,0,-90,Unknown,03/09/1981,03/13/1981,526013,6420173,63.7
CIG_____8___,WCI,0,0,-90,Unknown,03/14/1981,03/15/1981,525930,6420160,480.7
CIG_____8___,WCI,87.5,0,-90,Unknown,03/14/1981,03/15/1981,525930,6420160,393.2
CIG_____9___,WCI,0,0,-90,Unknown,03/15/1981,03/19/1981,525930,6420160,480.7
CIG_____9___,WCI,410.6,0,-90,Unknown,03/15/1981,03/19/1981,525930,6420160,70.1
CIG____10___,WCI,0,0,-90,Unknown,03/20/1981,03/24/1981,526082,6420180,466.6
CIG____10___,WCI,404.5,0,-90,Unknown,03/20/1981,03/24/1981,526082,6420180,62.1
CIG____11___,WCI,0,0,-90,Unknown,03/27/1981,04/02/1981,532279,6432141,457
CIG____11___,WCI,85.3,213.5,-89.75,Unknown,03/27/1981,04/02/1981,532278.7946,6432140.69,371.700812
CIG____11___,WCI,176.8,113.5,-89,Unknown,03/27/1981,04/02/1981,532280.259,6432140.053,280.2147479
CIG____11___,WCI,268.3,83.5,-89,Unknown,03/27/1981,04/02/1981,532281.8457,6432140.234,188.7286838
CIG____11___,WCI,359.6,340.5,-82.6,Unknown,03/27/1981,04/02/1981,532277.9204,6432151.318,98.18910666
CIG____11___,WCI,453.2,13.5,-73.75,Unknown,03/27/1981,04/02/1981,532284.0348,6432176.787,8.328440285
CIG____12___,WCI,0,0,-90,Unknown,04/06/1981,04/12/1981,528984,6429966,458
CIG____12___,WCI,91.4,0,-90,Unknown,04/06/1981,04/12/1981,528984,6429966,366.6
CIG____12___,WCI,182.9,0,-90,Unknown,04/06/1981,04/12/1981,528984,6429966,275.1
CIG____12___,WCI,274.3,13.5,-89.5,Unknown,04/06/1981,04/12/1981,528984.1862,6429966.776,183.7034802
CIG____12___,WCI,365.8,13.5,-89.25,Unknown,04/06/1981,04/12/1981,528984.4658,6429967.94,92.21131926
CIG____12___,WCI,442,38.5,-84.5,Unknown,04/06/1981,04/12/1981,528989.0123,6429973.656,16.36212894
CIG____12___,WCI,450.2,38.5,-84.5,Unknown,04/06/1981,04/12/1981,528989.5016,6429974.271,8.199880117
CIG____13___,WCI,0,0,-90,Unknown,04/17/1981,04/22/1981,527239,6424612,470
CIG____13___,WCI,91.4,16.5,-88.2,Unknown,04/17/1981,04/22/1981,527239.8154,6424614.753,378.6451004
CIG____13___,WCI,182.9,7,-86.5,Unknown,04/17/1981,04/22/1981,527240.4961,6424620.297,287.3157663
CIG____13___,WCI,274.3,14.5,-86.9,Unknown,04/17/1981,04/22/1981,527241.7337,6424625.082,196.0495147
CIG____13___,WCI,365.8,9.5,-86.8,Unknown,04/17/1981,04/22/1981,527242.5767,6424630.12,104.6921847
CIG____13___,WCI,445,14.5,-86.9,Unknown,04/17/1981,04/22/1981,527243.6491,6424634.267,25.60808045
CIG____13___,WCI,448.7,14.5,-86.9,Unknown,04/17/1981,04/22/1981,527243.6992,6424634.46,21.91349477
CIG____14___,WCI,0,0,-90,Unknown,04/24/1981,05/01/1981,520307,6430962,502
CIG____14___,WCI,63.1,57.5,-86.4,Unknown,04/24/1981,05/01/1981,520310.3416,6430964.129,439.0245134
CIG____14___,WCI,154.5,68.5,-86.1,Unknown,04/24/1981,05/01/1981,520316.1256,6430966.407,347.8361704
CIG____14___,WCI,246,69.5,-87,Unknown,04/24/1981,05/01/1981,520320.6111,6430968.084,256.4615679
CIG____14___,WCI,337.4,84.5,-85.5,Unknown,04/24/1981,05/01/1981,520327.7492,6430968.772,165.3433236
CIG____14___,WCI,428.8,117.5,-85.1,Unknown,04/24/1981,05/01/1981,520334.6742,6430965.167,74.27736355
CIG____14___,WCI,535.5,89.5,-84.7,Unknown,04/24/1981,05/01/1981,520344.5298,6430965.253,-31.96646175
CIG____14___,WCI,610.4,121.5,-86.5,Unknown,04/24/1981,05/01/1981,520348.4285,6430962.864,-106.7267582
CIG____14___,WCI,611.7,121.5,-86.5,Unknown,04/24/1981,05/01/1981,520348.4962,6430962.822,-108.0243334
CIG____15___,WCI,0,0,-90,Unknown,05/05/1981,05/11/1981,526550,6436660,481.8
CIG____15___,WCI,50,95.5,-89.5,Unknown,05/05/1981,05/11/1981,526550.4343,6436659.958,431.8019038
CIG____15___,WCI,100,78.5,-88.8,Unknown,05/05/1981,05/11/1981,526551.4604,6436660.167,381.8128697
CIG____15___,WCI,150,88.5,-88.9,Unknown,05/05/1981,05/11/1981,526552.42,6436660.192,331.8220841
CIG____15___,WCI,200,75.5,-88.7,Unknown,05/05/1981,05/11/1981,526553.5182,6436660.476,281.8349536
CIG____15___,WCI,250,82.5,-88.4,Unknown,05/05/1981,05/11/1981,526554.9023,6436660.658,231.8544478
