X_NAD,Y_NAD,Z_NAD
510557.6973,6412743.238,517.419739
546825.2031,6412743.239,446.186096
510557.6973,6471491.324,411.355927
546825.2031,6471491.324,495.745697
528691.4502,6412743.239,489.955994
546825.2031,6442117.281,466.222107
528691.4502,6442117.281,507.204773
510557.6973,6442117.281,493.803711
528691.4502,6471491.324,428.000885
537756.6816,6442115.945,452.158295
546825.2031,6456804.305,484.582947
537755.4375,6456799.324,452
528691.4502,6427430.26,451.540039
519624.5737,6427430.26,499.794128
519624.5737,6412743.239,502.206238
537757.625,6427431.682,484.197266
537758.3262,6412743.239,482.131409
546825.2031,6427430.26,471.467346
528691.4502,6456804.305,449.462769
537758.3262,6471491.324,453.601807
519624.5737,6456804.305,422.390015
519624.5737,6471491.324,436.628937
510557.6973,6456804.305,451.72821
519624.5737,6442117.281,510.781494
510557.6973,6427430.26,540.806519
533225.5459,6427432.441,476.769836
528691.4502,6420086.749,476.947449
533213.9941,6420051.543,479.696869
519613.0489,6420047.278,510.971069
515057.7188,6420033.041,522.94751
515091.1357,6412743.238,514.228455
515070.6284,6427414.646,521.732971
519624.5737,6434773.77,500.219391
515067.4482,6434754.598,556.61499
537756.8652,6449459.656,452
533224.8887,6449460.793,491.498566
533224.8887,6442117.281,451.51001
542313.1348,6456820.711,478.804443
546825.2031,6464147.813,489.047363
542325.4199,6464202.152,487.551819
537756.7324,6434772.477,475.652374
533224.9551,6434773.816,456.696716
542313.832,6449478.645,452.46225
542314.5098,6442135.689,477.590393
546825.2031,6449460.793,464.849915
524158.0117,6420086.749,520.393738
524158.0117,6412743.239,510.628357
524158.0117,6427430.26,478.5
528691.4502,6434773.77,466.284668
524158.0117,6434773.77,489.529785
542303.166,6420068.336,477.870514
542291.7656,6412743.239,479.158478
546825.2031,6420086.75,463.947571
542314.3691,6427450.717,483.928375
546825.2031,6434773.77,471.296814
542312.8867,6434790.885,463.071198
537745.707,6420049.8,497.433411
533224.8887,6412743.239,484.342285
537769.7031,6464186.754,475.251526
542291.7656,6471491.324,481.234314
533224.8887,6464147.813,479.373901
533224.8887,6471491.324,438.651672
528691.4502,6464147.813,455.80188
533224.8887,6456804.305,456.506775
528691.4502,6449460.793,451.51001
515067.3696,6464135.676,445.973633
515091.1357,6471491.324,428.244202
510557.6973,6464147.813,423.412811
515065.4497,6456783.465,449.451508
510557.6973,6449460.793,488.914612
515065.9399,6449440.371,481.98703
519624.5737,6464147.813,422.390015
524158.0117,6464147.813,422.390015
524158.0117,6471491.324,423.880096
510557.6973,6420086.749,538.19043
519624.5737,6449460.793,488.015991
515069.1572,6442099.477,524.910583
524158.0117,6442117.281,508.757019
510557.6973,6434773.77,531.544739
524158.0117,6449460.793,464.42865
524158.0117,6456804.305,444.712158
544659.291,6445870.688,464.374725
544659.6543,6442199.219,473.77179
546825.2031,6445789.039,471.98761
526424.731,6460476.059,435.22345
526424.731,6456804.305,447.728668
528691.4502,6460476.059,453.46347
535492.3115,6434774.307,469.76825
537756.8184,6438444.336,456.715698
535492.3828,6438446.15,464.169434
540016.918,6449454.188,452
537756.7207,6445787.68,452
540017.0059,6445782.492,457.356415
544659.4199,6460555.625,500.200897
544659.1387,6456885.762,487.18396
546825.2031,6460476.059,499.60733
526424.731,6434773.77,468.81781
528691.4502,6438445.525,451.51001
526424.731,6438445.525,492.463074
533228.3232,6423769.673,483.69809
535496.2959,6423771.799,490.210571
535493.2451,6427433.648,500.917023
524158.0117,6423758.504,489.617004
526424.731,6423758.504,470.046082
526424.731,6427430.26,487.968964
512724.2964,6438364.441,518.229248
512723.6196,6434692.154,529.639099
515068.4487,6438427.164,528.214966
542313.502,6453150.414,462.324646
540017.2207,6453126.727,461.609985
515065.6895,6453112.035,470.229828
517357.7891,6453132.492,446.312653
517357.8408,6456804.301,452.384216
526384.6255,6416285.066,469.792084
526424.731,6420086.749,462.936646
524121.3374,6416296.171,497.086792
530959.6807,6423763.514,498.531403
530958.1748,6427430.322,482.115662
528691.4502,6423758.504,480.645569
533224.8887,6460476.059,471.631836
535491.3232,6460475.027,501.174957
535494.2021,6464156.109,479.627563
517359.7349,6434775.264,534.340637
515069.3413,6431084.094,549.229553
517360.8877,6431104.355,535.716248
544660.1133,6453214.941,459.157135
517308.9136,6416251.929,533.992004
517357.8547,6412743.238,499.954742
519573.9386,6416250.78,512.971619
530958.1699,6460476.059,467.625397
530958.1699,6456804.305,465.08313
533224.8887,6467819.57,446.566833
535498.9404,6467843.277,459.469666
535491.6074,6471491.324,445.350281
540016.1543,6456795.109,453.036713
537757.0371,6453132.215,452
524158.0117,6431102.016,487.287415
521891.2927,6431102.016,491.455078
521891.2927,6427430.26,511.260132
544659.1484,6434855.227,463.692352
542313.5566,6431118.723,473.723938
544659.4121,6431182.975,486.132111
530958.1699,6453132.547,451.51001
528691.4502,6453132.547,469.940948
530947.4541,6420052.148,491.913696
528643.7578,6416260.448,491.514343
530907.3447,6416250.481,498.972473
515032.9731,6416247.842,501.063446
512724.2217,6416252.808,503.784546
512824.4165,6412743.238,518.578613
517349.7588,6420051.233,523.846863
519625.7954,6423760.684,522.830933
517363.8728,6423768.384,515.770325
521891.2927,6423758.504,512.684998
521882.5127,6420058.531,508.880737
544663.793,6464244.98,502.27713
546825.2031,6467819.57,492.424622
544664.5898,6467991.605,499.447723
519624.5737,6438445.525,499.434631
517359.2981,6438446.705,500.424683
512724.2236,6431020.785,536.312134
512724.7383,6427349.584,527.19519
517361.7598,6427434.842,507.730713
519624.5737,6431102.016,490.480011
533224.8887,6445789.039,480.653809
530958.1699,6445789.039,496.371246
530958.1699,6442117.281,462.365631
535481.9375,6420053.443,498.321228
537760.7383,6423769.82,496.632446
535492.1914,6445789.465,453.297577
535492.335,6442117.863,452
544659.8613,6449542.895,452.041504
